NISCode;houses_sum_ParcelsNumber;houses_avg_PriceP25;houses_avg_PriceP50;houses_avg_PriceP75;houses_avg_ParcelsAreaP50;houses_average_price_m2;houses_avg_PriceP50_filled;houses_avg_PriceP50_status;houses_avg_PriceP50_distance_m;houses_average_price_m2_filled;houses_average_price_m2_status;houses_average_price_m2_distance_m
11002D35-;19;465000;532500;600000;103;5169.90291262136;532500;observed;;5169.90291262136;observed;
11002E15-;19;375000;536000;575000;123.25;4348.88438133874;536000;observed;;4348.88438133874;observed;
11002D41-;51;345000;429500;565000;89.5;4798.88268156425;429500;observed;;4798.88268156425;observed;
11002D42-;39;265000;431000;535425;87.25;4939.82808022923;431000;observed;;4939.82808022923;observed;
11002E131;19;460000;680000;1000000;78;8717.94871794872;680000;observed;;8717.94871794872;observed;
11002E14-;109;592200;770000;945000;114;6754.38596491228;770000;observed;;6754.38596491228;observed;
11002E50-;101;435000;535000;670000;103.5;5169.08212560386;535000;observed;;5169.08212560386;observed;
11002E521;96;300000;400000;617500;92.5;4324.32432432432;400000;observed;;4324.32432432432;observed;
11002E53-;48;430000;597500;770000;125.75;4751.49105367793;597500;observed;;4751.49105367793;observed;
11002E551;48;603500;682500;897500;117;5833.33333333333;682500;observed;;5833.33333333333;observed;
11002F11-;37;235000;287500;350000;96.25;2987.01298701299;287500;observed;;2987.01298701299;observed;
11002F12-;15;270000;300000;319000;226.75;1323.04299889746;300000;observed;;1323.04299889746;observed;
11002F21-;29;645000;709500;852800;254.5;2787.81925343811;709500;observed;;2787.81925343811;observed;
11002F60-;40;215000;231500;300000;127;1822.83464566929;231500;observed;;1822.83464566929;observed;
11002F61-;116;232000;265000;300000;123.5;2145.74898785425;265000;observed;;2145.74898785425;observed;
11002F62-;32;227500;264500;321500;110;2404.54545454545;264500;observed;;2404.54545454545;observed;
11002F65-;33;255000;319000;369000;137.75;2315.78947368421;319000;observed;;2315.78947368421;observed;
23032B09-;16;225000;256871.03;329000;1172.5;219.079769722814;256871.03;observed;;219.079769722814;observed;
11002G51-;47;580000;650000;835000;174.5;3724.92836676218;650000;observed;;3724.92836676218;observed;
11002G522;34;370000;475000;652500;607.5;781.893004115226;475000;observed;;781.893004115226;observed;
11002G53-;49;605000;717500;876250;160;4484.375;717500;observed;;4484.375;observed;
11002G54-;44;649000;1000000;1415000;186.5;5361.93029490617;1000000;observed;;5361.93029490617;observed;
11002G72-;5;540000;682500;825000;197;3464.46700507614;682500;observed;;3464.46700507614;observed;
11002G74-;18;1150000;1787000;2200000;1148;1556.62020905923;1787000;observed;;1556.62020905923;observed;
23062A291;15;485000;580000;595000;1076;539.033457249071;580000;observed;;539.033457249071;observed;
11002H40-;71;196500;230500;310250;75.25;3063.12292358804;230500;observed;;3063.12292358804;observed;
11002H41-;81;250000;307500;365000;105.5;2914.69194312796;307500;observed;;2914.69194312796;observed;
11002H43-;66;222000;314375;379500;65.5;4799.61832061069;314375;observed;;4799.61832061069;observed;
11002H44-;42;219000;294500;368000;80;3681.25;294500;observed;;3681.25;observed;
21001A011;11;197500;300000;400000;94;3191.48936170213;300000;observed;;3191.48936170213;observed;
11002H83-;68;235000;280000;339000;119.5;2343.09623430962;280000;observed;;2343.09623430962;observed;
11002H84-;7;270000;330000;332500;75;4400;330000;observed;;4400;observed;
24008B09-;14;146000;228000;369000;1000;228;228000;observed;;228;observed;
11002J820;31;160000;277500;337500;61;4549.18032786885;277500;observed;;4549.18032786885;observed;
