naam;jaar;zone;aantal
bewoonde_geïsoleerde_woning_brussel;2031;B;0.0
bewoonde_geïsoleerde_woning_brussel;2031;C;444.63896192695864
bewoonde_geïsoleerde_woning_brussel;2031;D;2054.8908989237466
bewoonde_geïsoleerde_woning_brussel;2031;E;17959.134328674423
bewoonde_geïsoleerde_woning_brussel;2031;F;46817.39041958641
bewoonde_geïsoleerde_woning_brussel;2031;Totaal;67276.05460911154
bewoonde_geïsoleerde_woning_vlaanderen;2026;A;11.600000000000001
bewoonde_geïsoleerde_woning_vlaanderen;2026;B;196.0
bewoonde_geïsoleerde_woning_vlaanderen;2026;C;1329.8000000000002
bewoonde_geïsoleerde_woning_vlaanderen;2026;D;3241.4
bewoonde_geïsoleerde_woning_vlaanderen;2026;E;9958.2
bewoonde_geïsoleerde_woning_vlaanderen;2026;F;12617.600000000002
bewoonde_geïsoleerde_woning_vlaanderen;2026;Totaal;27354.600000000002
bewoonde_geïsoleerde_woning_vlaanderen;2027;A;11.920995315999997
bewoonde_geïsoleerde_woning_vlaanderen;2027;B;201.424337678
bewoonde_geïsoleerde_woning_vlaanderen;2027;C;1366.6006644679999
bewoonde_geïsoleerde_woning_vlaanderen;2027;D;3331.09764716
bewoonde_geïsoleerde_woning_vlaanderen;2027;E;10233.768053216001
bewoonde_geïsoleerde_woning_vlaanderen;2027;F;12966.759966838
bewoonde_geïsoleerde_woning_vlaanderen;2027;Totaal;28111.571664676
bewoonde_geïsoleerde_woning_vlaanderen;2028;A;12.242055132931391
bewoonde_geïsoleerde_woning_vlaanderen;2028;B;206.850373109802
bewoonde_geïsoleerde_woning_vlaanderen;2028;C;1403.4110872856297
bewoonde_geïsoleerde_woning_vlaanderen;2028;D;3420.814871430984
bewoonde_geïsoleerde_woning_vlaanderen;2028;E;10509.396003813214
bewoonde_geïsoleerde_woning_vlaanderen;2028;F;13315.9955640903
bewoonde_geïsoleerde_woning_vlaanderen;2028;Totaal;28868.70995486286
bewoonde_geïsoleerde_woning_vlaanderen;2029;A;12.56322835968539
bewoonde_geïsoleerde_woning_vlaanderen;2029;B;212.27891730916116
bewoonde_geïsoleerde_woning_vlaanderen;2029;C;1440.2368154642177
bewoonde_geïsoleerde_woning_vlaanderen;2029;D;3510.5653001760584
bewoonde_geïsoleerde_woning_vlaanderen;2029;E;10785.125723908648
bewoonde_geïsoleerde_woning_vlaanderen;2029;F;13665.35985273774
bewoonde_geïsoleerde_woning_vlaanderen;2029;Totaal;29626.129837955512
bewoonde_geïsoleerde_woning_vlaanderen;2030;A;12.884563653680157
bewoonde_geïsoleerde_woning_vlaanderen;2030;B;217.71077746075994
bewoonde_geïsoleerde_woning_vlaanderen;2030;C;1477.0833688198995
bewoonde_geïsoleerde_woning_vlaanderen;2030;D;3600.362491562168
bewoonde_geïsoleerde_woning_vlaanderen;2030;E;11060.998872864695
bewoonde_geïsoleerde_woning_vlaanderen;2030;F;14014.90562400744
bewoonde_geïsoleerde_woning_vlaanderen;2030;Totaal;30383.945698368643
bewoonde_geïsoleerde_woning_vlaanderen;2031;A;13.206109429709267
bewoonde_geïsoleerde_woning_vlaanderen;2031;B;223.14675706022305
bewoonde_geïsoleerde_woning_vlaanderen;2031;C;1513.956240951067
bewoonde_geïsoleerde_woning_vlaanderen;2031;D;3690.219937008378
bewoonde_geïsoleerde_woning_vlaanderen;2031;E;11337.056904814566
bewoonde_geïsoleerde_woning_vlaanderen;2031;F;14364.685408912053
bewoonde_geïsoleerde_woning_vlaanderen;2031;Totaal;31142.271358175996
bewoonde_niet_geïsoleerde_woning_brussel;2026;A;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2026;B;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2026;C;1562.250255703438
bewoonde_niet_geïsoleerde_woning_brussel;2026;D;7219.911224994364
bewoonde_niet_geïsoleerde_woning_brussel;2026;E;63099.87337950133
bewoonde_niet_geïsoleerde_woning_brussel;2026;F;164494.08715195186
bewoonde_niet_geïsoleerde_woning_brussel;2026;Totaal;236376.122012151
bewoonde_niet_geïsoleerde_woning_brussel;2027;A;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2027;B;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2027;C;1584.7747837957959
bewoonde_niet_geïsoleerde_woning_brussel;2027;D;7324.007923086113
bewoonde_niet_geïsoleerde_woning_brussel;2027;E;64009.647511636664
bewoonde_niet_geïsoleerde_woning_brussel;2027;F;166865.76331174394
bewoonde_niet_geïsoleerde_woning_brussel;2027;Totaal;239784.1935302625
bewoonde_niet_geïsoleerde_woning_brussel;2028;A;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2028;B;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2028;C;1607.4186523512226
bewoonde_niet_geïsoleerde_woning_brussel;2028;D;7428.656150963669
bewoonde_niet_geïsoleerde_woning_brussel;2028;E;64924.24184980572
bewoonde_niet_geïsoleerde_woning_brussel;2028;F;169250.00519233596
bewoonde_niet_geïsoleerde_woning_brussel;2028;Totaal;243210.32184545658
bewoonde_niet_geïsoleerde_woning_brussel;2029;A;0.0
bewoonde_niet_geïsoleerde_woning_brussel;2029;B;0.0
