bron;jaar_indiening;gemeente;handeling;gebouw_functie;metriek;waarde
vergunningen_verkaveling_2026;2021;Bonheiden;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;Totalen;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;Totalen;Aantal gebouwen;2.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;-;Aantal projecten;1.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;-;Aantal gebouwen;2.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Bonheiden;Sloop;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Totalen;;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Totalen;;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Totalen;;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Totalen;;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Totalen;;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Totalen;;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;Totalen;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;Totalen;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;Totalen;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;Totalen;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;Totalen;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;Totalen;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;-;Aantal projecten;2.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;-;Aantal gebouwen;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;-;Aantal wooneenheden;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;-;Nuttige woonoppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;-;Bovengronds nuttige oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;-;-;Bovengronds grond oppervlakte;0.0
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;Totalen;Aantal projecten;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;Totalen;Aantal gebouwen;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;Totalen;Aantal wooneenheden;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;Totalen;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;Totalen;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;Totalen;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;-;Aantal projecten;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;-;Aantal gebouwen;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;-;Aantal wooneenheden;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;-;Nuttige woonoppervlakte;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;-;Bovengronds nuttige oppervlakte;
vergunningen_verkaveling_2026;2021;Boortmeerbeek;Sloop;-;Bovengronds grond oppervlakte;
vergunningen_verkaveling_2026;2021;Dilbeek;Totalen;;Aantal projecten;11.0
