id_inter_ss_lden;surface intersection between statistical sectors and lden noise contour;Surface of the polygone in lnight 45;Percentage of the surface of the polygone in lnight 45;Surface of the polygone in NA70;Percentage of the surface of the polygone in NA70
802;111762,3142;0;0;0;0
803;110634,2915;0;0;0;0
804;26949,98826;0;0;0;0
805;32833,97659;0;0;0;0
806;87263,51241;0;0;0;0
807;37382,54814;0;0;0;0
808;40101,60817;0;0;0;0
809;144221,4122;0;0;0;0
810;84560,04677;0;0;0;0
811;17917,68624;0;0;0;0
812;158291,0244;0;0;0;0
813;28493,23412;0;0;0;0
814;120075,8296;0;0;0;0
815;92283,81091;0;0;0;0
816;570,7042135;0;0;0;0
817;11445,32321;0;0;0;0
818;125217,7328;0;0;0;0
819;40394,63718;0;0;0;0
820;26709,15884;0;0;0;0
821;35656,03303;0;0;0;0
822;46295,28654;0;0;0;0
823;3894,905162;0;0;0;0
824;7687,178226;0;0;0;0
825;81979,53852;0;0;0;0
826;33023,43025;0;0;0;0
827;68169,07423;0;0;0;0
828;17158,88693;0;0;0;0
829;51480,10597;0;0;0;0
830;51673,69482;0;0;0;0
831;20716,65801;0;0;0;0
832;0,001346814;0;0;0;0
833;48491,34464;0;0;0;0
834;41598,24778;0;0;0;0
835;2971,025096;0;0;0;0
836;55166,61775;0;0;0;0
837;44259,7578;0;0;0;0
838;8086,203336;0;0;0;0
839;82,69212869;0;0;0;0
840;108339,0777;0;0;0;0
841;180945,8496;0;0;0;0
842;154057,4752;0;0;0;0
843;42652,30579;0;0;0;0
844;58308,15485;0;0;0;0
845;14412,16825;0;0;0;0
846;28104,80031;0;0;0;0
847;126177,3181;0;0;0;0
848;78602,18213;0;0;0;0
849;296,393119;0;0;0;0
850;79,99134798;0;0;0;0
851;59964,55698;0;0;0;0
852;50857,1508;274,7148627;0,54;0;0
853;1634,174421;0;0;0;0
854;12396,57541;0;0;0;0
855;13115,35391;0;0;0;0
856;722,196805;0;0;0;0
857;89174,43663;0;0;0;0
858;164270,7928;0;0;0;0
859;66824,81679;0;0;0;0
860;3900,512351;0;0;0;0
861;57726,54787;0;0;0;0
862;5848,249577;0;0;0;0
863;421321,9383;0;0;0;0
864;390379,271;0;0;0;0
865;413455,7724;0;0;0;0
866;582772,6971;0;0;0;0
867;783548,5922;0;0;0;0
868;131154,5148;0;0;0;0
869;70838,83104;0;0;0;0
870;87798,04934;0;0;0;0
871;64463,27547;0;0;0;0
872;173686,4637;0;0;0;0
873;1551,145955;0;0;0;0
874;35724,51229;0;0;0;0
875;76752,25123;0;0;0;0
876;65554,41047;0;0;0;0
877;19960,99514;0;0;0;0
878;16747,79448;0;0;0;0
879;81881,6851;0;0;0;0
880;3808,205183;0;0;0;0
881;54039,44929;0;0;0;0
882;105574,0234;0;0;0;0
883;9414,241175;0;0;0;0
884;46904,60182;0;0;0;0
885;50451,94645;0;0;0;0
886;119209,962;0;0;0;0
887;4139,173202;0;0;0;0
888;64908,33916;0;0;0;0
889;84151,31006;0;0;0;0
890;83111,4429;0;0;0;0
891;65437,68825;0;0;0;0
892;33200,58532;0;0;0;0
893;93063,95412;0;0;0;0
894;166782,0141;0;0;0;0
895;37386,01636;0;0;0;0
896;27649,96338;0;0;0;0
897;102192,5054;0;0;0;0
898;111860,8443;0;0;0;0
899;32585,679;0;0;0;0
900;42,03630977;0;0;0;0
901;93996,3631;0;0;0;0
902;75261,64412;0;0;0;0
903;35399,50585;0;0;0;0
904;4,319683597;0;0;0;0
905;38413,58925;0;0;0;0
906;65470,49888;0;0;0;0
907;15753,17809;0;0;0;0
908;64721,85174;0;0;0;0
909;89663,9024;0;0;0;0
910;3493,30401;0;0;0;0
911;92247,29676;0;0;0;0
912;17137,82184;0;0;0;0
913;113195,9424;0;0;0;0
914;65687,2981;0;0;0;0
915;2058,509577;0;0;0;0
916;26116,14082;0;0;0;0
917;312232,9182;0;0;0;0
918;56226,06585;0;0;0;0
919;115,8838813;0;0;0;0
920;146159,4939;0;0;0;0
921;114046,7982;11927,61411;10,46;0;0
922;87033,80555;0;0;0;0
923;320961,1759;109189,0199;34,02;0;0
924;30296,04596;30296,04596;100;0;0
925;8001,054994;0;0;0;0
926;217619,5323;0;0;0;0
927;149806,3412;14551,93932;9,71;0;0
928;69895,48311;0;0;0;0
929;56794,34312;0;0;0;0
930;126445,2728;0;0;0;0
931;27895,10375;0;0;0;0
932;113134,8776;0;0;0;0
933;7825,815734;0;0;0;0
